no;km;parcours
17;41;MONTAUBAN – La Brohinière – D28 – D59 – LE CROUAIS – D59 – VC – ST ONEN LA CHLLE – D59 - MUEL - D59 - D31 - ST MALON/MEL – D31 - D71 - ST MAUGAN - D71 - BOISGERVILLY - D61 - MONTAUBAN
18;31;MONTAUBAN – La Brohinière – D28 – D59 – LE CROUAIS – D59 – VC – ST ONEN LA CHLLE – D59 (direction Muel) - à gauche VC (direction La Duchée/Fontainguy) - à gauche D71 - BOISGERVILLY - D61 - MONTAUBAN
21;48;MONTAUBAN – La Brohinière – D28 – D59 – LE CROUAIS – D59 – ST MEEN LE GD – D125 – D19 – PLUMAUGAT – D46 – CAULNES – 2ème à droite VC (direction Guenroc) – à droite après La Roptais D89 – GUITTE – D89 – D61 – MEDREAC – D61 – MONTAUBAN
22;41;MONTAUBAN – La Brohinière – D28 – D59 – LE CROUAIS – D59 – ST MEEN LE GD (Centre ville) – D166 – D766 – ST JOUAN DE L’ISLE – à droite D712 – D59 – QUEDILLAC – D220 – MEDREAC – D61 – MONTAUBAN
23;31;MONTAUBAN – La Brohinière – D28 – D59 – LE CROUAIS – à droite après église VC – Le Bahac – à droite D166 (direction St Jouan) – La Prévostais – à droite D220 – QUEDILLAC – D220 – MEDREAC – D61 – MONTAUBAN
26;48;MONTAUBAN - D61 - MEDREAC - D61 - D89 - GUITTE - D89 (direction Yvignac) - 1ère à gauche VC - après La Roptais, à gauche - CAULNES - D46 - PLUMAUGAT - à gauche D19 – D125 - ST MEEN LE GD – D59 – LE CROUAIS – D59 – D28 – La Brohinière – MONTAUBAN
27;41;MONTAUBAN - D61 - MEDREAC - D220 - QUEDILLAC – D59 - D712 - ST JOUAN DE L'ISLE - à gauche D766 - D166 - à droite - Le Parson - ST MEEN LE G D – D59 – LE CROUAIS – D59 – D28 – La Brohinière – MONTAUBAN
28;31;MONTAUBAN - D61 - MEDREAC - D220 - QUEDILLAC - D220 (direction St Méen Le G d) - La Prévostais - à gauche D166 - Le Bahac - à gauche VC – LE CROUAIS – D59 – D28 – La Brohinière – MONTAUBAN
31;51;MONTAUBAN – D61 – IFFENDIC – D30 – MONTFORT/MEU – D125 – BRETEIL – D125 – L’HERMITAGE, à gauche avant le bourg D21 – ST GILLES – D21 – ROMILLE – D28 – MONTAUBAN
32;41;MONTAUBAN – D61 – IFFENDIC – D30 – MONTFORT/MEU – D125 (direction Breteil) – La Grande Porte – à gauche VC (direction Bédée) – au stop avant Bédée, à droite D68 – PLEUMELEUC – D68 – ROMILLE – D28 – MONTAUBAN
33;36;MONTAUBAN – D61 – IFFENDIC – D30 – MONTFORT/MEU – D125 (direction Breteil) – La Grande Porte – à gauche VC – BEDEE – D72 (direction Irodouër) – Tournebride – à gauche D28 – MONTAUBAN
36;51;MONTAUBAN - D28 - ROMILLE - D21 - ST GILLES - D21 - L'HERMITAGE - à droite avant le bourg, D125 - BRETEIL - D125 - MONTFORT/MEU - D30 - IFFENDIC - D61 - MONTAUBAN
37;41;MONTAUBAN - D28 - ROMILLE - à droite D68 - PLEUMELEUC – D68 (direction Montfort/Meu) - à gauche VC (direction Breteil) - La Grande Porte - à droite D125 - MONTFORT/MEU - D30 - IFFENDIC - D61 - MONTAUBAN
38;36;MONTAUBAN - D28 - Tournebride - à droite D72 - BEDEE (centre) - à gauche et à droite VC (direction Breteil) - La Grande Porte - à droite D125 - MONTFORT/MEU - D30 - IFFENDIC - D61 - MONTAUBAN
41;70;MONTAUBAN – D61 – BOISGERVILLY – D125 – ST MEEN LE GD – D220 – D66 – LE LOSCOUËT/ MEU – à droite (direction Trémorel) et à gauche dans le bourg - à gauche avant l’étang VC (direction Trémorel) – TREMOREL – D52 – LANRELAS – D46 – EREAC – D793 (direction Broons) – Le Pont du Breuil - à droite VC – PLUMAUGAT – D46 (direction Caulnes) – à droite D712 – ST JOUAN DE L’ISLE – D712 – D59 – QUEDILLAC – à gauche D220 – MEDREAC – D61 – MONTAUBAN
42;53;MONTAUBAN – D61 – BOISGERVILLY – D125 – ST MEEN LE GD – D220 – D66 – LE LOSCOUËT/ MEU – à droite (direction Trémorel) et à gauche dans le bourg - à droite avant l’étang VC (direction Plumaugat) – au rond point D764 (direction Plumaugat) – passer sous 4 voies – à droite VC - La Gautraie – VC – PLUMAUGAT – D46 (direction Caulnes) – à droite D712 – ST JOUAN DE L’ISLE – D712 – D59 – QUEDILLAC – à gauche D220 – MEDREAC – D61 – MONTAUBAN
43;41;MONTAUBAN – D61 – BOISGERVILLY – D125 – au rond point avant ST MEEN LE GD, tout droit – D166 – D766 – ST JOUAN DE L’ISLE – à droite D712 – D59 – QUEDILLAC – à gauche D220 – MEDREAC – D61 – MONTAUBAN
46;70;MONTAUBAN - D61 - MEDREAC - D220 - QUEDILLAC – D59 - D712 - ST JOUAN DE L'ISLE - D712 – à gauche D46 - PLUMAUGAT - à droite après l'église et 1ère à gauche VC (direction Le Pont du Breuil) - à gauche D793 - EREAC - 1ère à gauche D46 - LANRELAS - D52 - TREMOREL – à droite à l’église et 1ère à gauche – VC (direction Le Loscouët/Meu) – traverser D764 - VC (direction Les Buissonnets) - après 2 km, sur la gauche - LE LOSCOUËT/MEU - D66 – D220 - ST MEEN LE GD - D125 - BOISGERVILLY - D61 - MONTAUBAN
47;53;MONTAUBAN - D61 - MEDREAC - D220 - QUEDILLAC – D59 - D712 - ST JOUAN DE L'ISLE - D712 – à gauche D46 - PLUMAUGAT - D46 (direction Lanrelas) et aussitôt à gauche VC – La Gautraie – D764 (direction St Méen) – passer sous 4 voies – VC - LE LOSCOUËT/MEU - D66 – D220 - ST MEEN LE GD - D125 - BOISGERVILLY - D61 - MONTAUBAN
48;41;MONTAUBAN - D61 - MEDREAC - D220 - QUEDILLAC – D 59 - D712 - ST JOUAN DE L'ISLE – à gauche D766 (direction St Méen) – D166 – au rond point, tout droit D125 - BOISGERVILLY - D61 - MONTAUBAN
51;61;MONTAUBAN – D61 – D261 – ST UNIAC – D261 (direction Bédée) – à droite D31 – IFFENDIC – D31 – ST GONLAY – D31 – ST MALON/MEL – à droite D31 (direction Concoret) – à gauche D31 – Chau de Comper – D141 – La Loriette – à droite D773 (direction Gaël) – à droite D30 – MUEL – à gauche D59 – ST ONEN LA CHLLE – VC – à droite D125 – BOISGERVILLY – D61 – MONTAUBAN
52;47;MONTAUBAN – D61 – D261 – ST UNIAC – D261 (direction Bédée) – à droite D31 – IFFENDIC – D31 – ST GONLAY – D31 – S T MALON/MEL – à droite D31 (direction Concoret) – D59 – MUEL – D59 – ST ONEN LA CHLLE – VC – à droite D125 – BOISGERVILLY – D61 – MONTAUBAN
53;37;MONTAUBAN – D61 – D261 – ST UNIAC – D261 (direction Bédée) – à droite D31 – IFFENDIC – D31 – S T GONLAY – D31 – ST MALON/MEL – à droite D31 (direction Concoret) – D59 (direction Muel) – 1ère à droite D359 – BLERUAIS – D359 – à gauche D71 – S T MAUGAN – D71 – BOISGERVILLY – D61 – MONTAUBAN
56;61;MONTAUBAN - D61 - BOISGERVILLY - D125 - VC - ST ONEN LA CHLLE - D59 - MUEL – à droite D30 (direction Gaël) - à gauche D773 (direction Paimpont) – La Loriette – à gauche D141 – Chau de Comper – D31 – ST MALON/MEL - D31 - ST GONLAY - D31 - IFFENDIC - D31 (direction Bédée) – traverser D125 - à gauche D261 - ST UNIAC - D261 - D61 - MONTAUBAN
57;47;MONTAUBAN - D61 - BOISGERVILLY - D125 - VC - ST ONEN LA CHLLE - D59 - MUEL - tout droit D59 - D31 - ST MALON/MEL - D31 - ST GONLAY - D31 - IFFENDIC - D31 (direction Bédée) – traverser D125 - à gauche D261 - ST UNIAC - D261 - D61 - MONTAUBAN
58;37;MONTAUBAN - D61 - BOISGERVILLY - D71 - ST MAUGAN - D71 (direction St Malon/Mel) - à droite D359 - BLERUAIS - à gauche D59 - D31 - ST MALON/MEL - D31 - ST GONLAY - D31 - IFFENDIC - D31 (direction Bédée) – traverser D125 - à gauche D261 - ST UNIAC - D261 - D61 - MONTAUBAN
61;69;MONTAUBAN – D71 – LANDUJAN – D62 – ST PERN – D20 – D12 – PLOUASNE – à droite VC – LE QUIOU – D26 – D39 – EVRAN – D78 – D11 – TREVERIEN – D11 – S T DOMINEUC – à droite après les feux D11 – QUEBRIAC – D81 – TINTENIAC – D20 (direction Bécherel) – à gauche VC – LES IFFS – à droite VC – à gauche D79 – CARDROC – à droite D220 – à droite D27 – à gauche D220 – MINIAC S/S BECHEREL – D220 – à gauche D70 – IRODOUËR – D221 (direction La Chlle du Lou) – D62 – La Saudraie – D262 – MONTAUBAN
62;55;MONTAUBAN – D71 – LANDUJAN – D62 – ST PERN – D20 – D12 – PLOUASNE – à droite VC – LE QUIOU – D26 – D39 – EVRAN – D78 – D11 – TREVERIEN – D79 (direction Trimer) – traverser D13 – Rollée – à droite VC – D70 – ST THUAL – D70 – LONGAULNAY – D70 – à gauche D68 – à droite D20 – BECHEREL – à gauche D70 – IRODOUËR – D221 (direction La Chlle du Lou) – D62 – La Saudraie – D262 – MONTAUBAN
63;39;MONTAUBAN – D71 – LANDUJAN – D71 (direction Bécherel) – à droite D220 – MINIAC S/S BECHEREL – D220 – à droite D27 – à gauche D220 – CARDROC – à gauche D79 – à droite VC – LES IFFS – à droite D221 – à gauche D27 – aussitôt à droite D221 – IRODOUËR – D221 (direction La Chlle du Lou) – D62 – La Saudraie – D262 – MONTAUBAN
66;69;MONTAUBAN - D262 - La Saudraie - D62 - D221 - IRODOUËR - D70 (direction Bécherel) – à droite D220 - MINIAC S/S BECHEREL - tout droit D220 - à droite D27 et tout de suite à gauche D220 - CARDROC – à droite D79 – à gauche VC - LES IFFS - à gauche VC - Chau de Montmuran – VC – à droite D20 - TINTENIAC - D20 - à gauche D81 - QUEBRIAC - à gauche D11 - ST DOMINEUC - D11 - TREVERIEN - D11 - D78 - EVRAN - D39 - D26 - LE QUIOU - à l'entrée du bourg à gauche VC - PLOUASNE - D12 - D20 - ST PERN - D62 - LANDUJAN - D71 - MONTAUBAN
67;55;MONTAUBAN - D262 - La Saudraie - D62 - D221 - IRODOUËR - D70 - D20 - BECHEREL - à gauche D68 - à droite D70 - LONGAULNAY - D70 - ST THUAL - D70 (direction Trimer) - Rollée - à gauche D79 – traverser D13 - TREVERIEN - D11 - D78 - EVRAN - D39 - D26 - LE QUIOU - à l'entrée du bourg à gauche VC - PLOUASNE - D12 - D20 - ST PERN - D62 - LANDUJAN - D71 - MONTAUBAN
68;39;MONTAUBAN - D262 - La Saudraie - D62 - D221 - IRODOUËR - D221 (direction Les Iffs) - à gauche D27 et tout de suite à droite D221 - LES IFFS - à gauche VC – à gauche D79 - CARDROC - à droite D220 (direction Miniac) - à droite D27 et tout de suite à gauche D220 - MINIAC S/S BECHEREL - tout droit D220 - traverser D70 - D220 - à gauche D71 - LANDUJAN - D71 - MONTAUBAN
71;76;MONTAUBAN – D61 – D261 – S T UNIAC – D261 – à gauche D31 – BEDEE – à droite VC (direction Breteil) – La Grande Porte – VC – TALENSAC – D62 (direction Bréal) – à droite D69 – LE VERGER – D69 (direction St Thurial) – Cossinade – ST THURIAL – D36 (direction Treffendel) – 1ère à gauche VC – D238 – La Ch lle es chèvres – PLELAN LE G D – D61 – ST PERAN – D35 (direction Montfort) – à droite D40 – MONTERFIL – D63 – IFFENDIC – D61 – MONTAUBAN
72;64;MONTAUBAN – D61 – D261 – S T UNIAC – D261 – à gauche D31 – BEDEE – à droite VC (direction Breteil) – La Grande Porte – VC – TALENSAC – D62 (direction Bréal s/s Montfort) – à droite D69 – LE VERGER – D69 (direction St Thurial) – Cossinade – ST THURIAL – D36 (direction Treffendel) – 1ère à gauche VC – D238 – à droite D63 – TREFFENDEL – D63 – MONTERFIL – D63 – IFFENDIC – D61 – MONTAUBAN
73;47;MONTAUBAN – D61 – D261 – S T UNIAC – D261 – à gauche D31 – BEDEE – à droite VC (direction Breteil) – La Grande Porte – VC – TALENSAC – D62 (direction Bréal s/s Montfort) – à droite D69 – LE VERGER – à droite D240 – MONTERFIL – D63 – IFFENDIC – D61 – MONTAUBAN
76;76;MONTAUBAN - D61 - IFFENDIC - D63 - MONTERFIL - à droite D40 – à gauche D35 - ST PERAN - D40 - D61 - PLELAN LE GD - 1ère à gauche (direction Maxent) - passer sur 4 voies et tout de suite à gauche D238 (direction St Thurial) - La Chapelle es chèvres - D238 - avant Crambert, à gauche VC et à nouveau à gauche - D36 - ST THURIAL - à gauche D69 - Cossinade - LE VERGER - D69 - à gauche D62 - TALENSAC - à droite VC - La Grande Porte - tout droit VC - BEDEE - à gauche D31 - ST UNIAC - D261 - D61 - MONTAUBAN
77;64;MONTAUBAN - D61 - IFFENDIC - D63 - MONTERFIL - D63 - TREFFENDEL - à gauche D63 (direction Maxent) à gauche D238 - avant Crambert, à gauche VC et à nouveau à gauche - D36 - ST THURIAL - à gauche D69 - Cossinade - LE VERGER - D69 - à gauche D62 - TALENSAC - à droite VC - La Grande Porte - tout droit VC - BEDEE - à gauche D31 - ST UNIAC - D261 - D61 - MONTAUBAN
78;47;MONTAUBAN - D61 - IFFENDIC - D63 - MONTERFIL - à gauche D240 - LE VERGER – à gauche D69 - à gauche D62 - TALENSAC - à droite VC - La Grande Porte - tout droit VC - BEDEE - à gauche D31 - ST UNIAC - D261 - D61 - MONTAUBAN
81;71;MONTAUBAN – D28 – ROMILLE – D21 (direction St Gilles) – prendre à gauche 2ème route indiquant Parthenay juste avant 4 voies, D331 – PARTHENAY DE BGNE – (direction Montgermont) – à gauche D231 – aux 5 routes, à gauche D287 – GEVEZE – D28 – LA MEZIERE – D28 (direction Melesse) – à gauche après 4 voies D425 – MONTREUIL LE GAST – à gauche D25 – VIGNOC – D25 – LANGOUËT – D25 – LANGAN – à gauche VC (direction Irodouër) – D221 – IRODOUËR – D221 (direction La Chlle du Lou) – D62 – La Saudraie – D262 – D71 – MONTAUBAN
82;56;MONTAUBAN – D28 – ROMILLE – D21 (direction St Gilles) – prendre à gauche 2ème route indiquant Parthenay juste avant 4 voies, D331 – PARTHENAY DE BGNE – (direction Montgermont) – à gauche D231 – aux 5 routes, à gauche D287 – GEVEZE – D28 (direction Romillé) – 1ère à droite D80 – LANGAN – à gauche VC (direction Irodouër) – D221 – IRODOUËR – D221 (direction La Chlle du Lou) – D62 – La Saudraie – D262 – D71 – MONTAUBAN
83;45;MONTAUBAN – D28 – ROMILLE – D21 (direction S t Gilles) – à gauche 1ère route indiquant Parthenay D31 – au stop à l’entrée de Parthenay, à gauche (direction Gévezé) – D231 – VC – D80 – LANGAN – VC – D221 – IRODOUËR – D221 (direction La Chlle du Lou) – D62 – La Saudraie – D262 – D71 – MONTAUBAN
86;71;MONTAUBAN – D71 – à droite D262 – La Saudraie – D62 – D221 – IRODOUËR – à droite D221 - VC - LANGAN - D25 - LANGOUËT - D25 - VIGNOC - D25 - MONTREUIL LE GAST - à droite D425 - à droite D28 - LA MEZIERE - D28 - GEVEZE – à droite puis à gauche D287 (direction Pacé) – à droite aux 5 routes, D231 - PARTHENAY DE BGNE - à gauche D331 (direction St Gilles) - à droite D21 - ROMILLE - D28 - MONTAUBAN
87;56;MONTAUBAN – D71 – à droite D262 – La Saudraie – D62 – D221 – IRODOUËR – à droite D221 - VC - LANGAN - D80 (direction Gévezé) - à gauche D28 - GEVEZE - à droite puis à gauche D287 (direction Pacé) – à droite aux 5 routes, D231 - PARTHENAY DE B GNE - à gauche D331 (direction St Gilles) - à droite D21 - ROMILLE - D28 - MONTAUBAN
88;45;MONTAUBAN – D71 – à droite D262 – La Saudraie – D62 – D221 – IRODOUËR – à droite D221 - VC - LANGAN - D80 (direction Gévezé) - à droite VC (direction Parthenay) - traverser D28 - D231 (direction Parthenay) - à l'entrée de Parthenay, à droite D31 (direction Pleumeleuc) – 2ème à droite D21 - ROMILLE - D28 - MONTAUBAN
91;74;MONTAUBAN – D61 – BOISGERVILLY – D71 – ST MAUGAN – D71 – ST MALON/MEL – D59 – PLELAN LE GD – à gauche puis à droite D38 – MAXENT – à gauche D63 – TREFFENDEL – à gauche D36 – ST PERAN – D35 – D72 – MONTFORT/MEU – D30 – IFFENDIC – à droite D31 (direction Bédée) – traverser D125 – à gauche D261 – ST UNIAC – D261 – D61 – MONTAUBAN
92;56;MONTAUBAN – D61 – BOISGERVILLY – D71 – ST MAUGAN – D71 – ST MALON/MEL – D59 (direction Plélan) – Coganne – à gauche D40 – au stop, à gauche D40 – ST PERAN – D35 – MONTFORT/MEU – D30 – IFFENDIC - à droite D31 (direction Bédée) – à gauche D261 – ST UNIAC – D261 – D61 – MONTAUBAN
93;41;MONTAUBAN – D61 – BOISGERVILLY – D71 – ST MAUGAN – D71 – ST MALON/MEL – à gauche VC – La Ville es Pollets – à droite VC (direction St Péran) – à gauche D61 - IFFENDIC - à droite D31 (direction Bédée) – à gauche D261 – ST UNIAC – D261 – D61 – MONTAUBAN
96;74;MONTAUBAN – D61 – D261 – ST UNIAC – D261 (direction Bédée) – à droite D31 – traverser D125 – IFFENDIC – D30 – MONFORT/MEU – D72 (direction Plélan le Gd) - D35 - ST PERAN - à gauche D36 - TREFFENDEL - à droite D63 - MAXENT - D38 - PLELAN LE G D - D59 - ST MALON/MEL - D71 - ST MAUGAN - D71 - BOISGERVILLY - D61 - MONTAUBAN,9770972
97;56;MONTAUBAN – D61 – D261 – ST UNIAC – D261 (direction Bédée) – à droite D31 – traverser D125 – IFFENDIC – D30 – MONFORT/MEU – D72 (direction Plélan le Gd) - D35 - ST PERAN – D40 (direction Plélan le Gd) – La Martinais - à droite D40 - Coganne - à droite D59 - ST MALON/MEL - D71 - ST MAUGAN - D71 - BOISGERVILLY - D61 - MONTAUBAN
98;41;MONTAUBAN – D61 – D261 – ST UNIAC – D261 (direction Bédée) – à droite D31 – traverser D125 – IFFENDIC – D61 (direction St Péran) – 1 km avant St Péran prendre à droite C5 (direction St Gonlay) - à Le Hil du Mou, prendre à gauche VC (direction St Malon) - ST MALON/MEL - D71 - ST MAUGAN - D71 - BOISGERVILLY - D61 - MONTAUBAN
101;74;MONTAUBAN – D61 – BOISGERVILLY – D71 – ST MAUGAN – à droite D30 – MUEL – D30 – GAËL – à droite après église et 1ère à gauche D258 (direction Merdrignac) – traverser D52 – VC – à gauche D66 – ILLIFAUT – à droite D6 – MERDRIGNAC – à droite D793 – ST LAUNEUC – à droite D76 (direction St Meen) – au rond point D764 (direction St Méen) – passer sous 4 voies – VC – LE LOSCOUËT/MEU – D66 – D220 – ST MEEN LE GD – D59 – LE CROUAIS – D59 – D28 – La Brohinière – MONTAUBAN
102;55;MONTAUBAN – D61 – BOISGERVILLY – D71 – ST MAUGAN – à droite D30 – MUEL – D30 – GAËL – à droite après église et 1ère à gauche D258 (direction Merdrignac) – traverser D52 – VC – à droite D66 – LE LOSCOUËT/MEU - D66 – D220 – ST MEEN LE GD – D59 – LE CROUAIS – D59 – D28 – La Brohinière – MONTAUBAN
103;43;MONTAUBAN – D61 – BOISGERVILLY – D71 – ST MAUGAN – à droite D30 – MUEL – D30 – GAËL – à droite après église et 2ème à gauche D58 (direction Trémorel) – à droite D66 – LE LOSCOUËT/MEU - D66 – D220 – ST MEEN LE GD – D59 – LE CROUAIS – D59 – D28 – La Brohinière – MONTAUBAN
106;74;MONTAUBAN – La Brohinière – D28 – D59 – LE CROUAIS – D59 – ST MEEN LE GD – D220 – D66 - LE LOSCOUET/MEU, à droite (direction Trémorel) et à gauche dans le bourg – à droite avant l’étang VC (direction Plumaugat) – au rond point D764 (direction Plumaugat) – passer sous 4 voies - D76 - ST LAUNEUC - D793 - MERDRIGNAC - D6 - ILLIFAUT - à gauche D66 (direction Le Loscouët) puis 1ère à droite VC - traverser D52 – D258 - GAËL - D30 - MUEL - D30 - ST MAUGAN - D71 - BOISGERVILLY - D61 - MONTAUBAN
107;55;MONTAUBAN – La Brohinière – D28 – D59 – LE CROUAIS – D59 – ST MEEN LE GD – D220 – D66 - LE LOSCOUET/MEU - D66 (direction Illifaut) - 1km avant Illifaut, prendre à gauche VC (direction Gaël) - traverser D52 - D258 - GAËL - D30 - MUEL - D30 - ST MAUGAN - D71 - BOISGERVILLY - D61 - MONTAUBAN
108;43;MONTAUBAN – La Brohinière – D28 – D59 – LE CROUAIS – D59 – ST MEEN LE GD – D220 – D66 - LE LOSCOUET/MEU - D66 (direction Illifaut) puis à gauche D58 - GAËL - D30 - MUEL - D30 - ST MAUGAN - D71 - BOISGERVILLY - D61 - MONTAUBAN
111;81;MONTAUBAN – D61 – IFFENDIC – D30 – MONTFORT/MEU – D62 – TALENSAC – D62 – BREAL S/S MONTFORT – 2ème à droite D62 – GOVEN – à gauche à la sortie du bourg et aussitôt à droite D44 (direction Bruz) – à gauche D21 – CHAVAGNE – 1ère à gauche VC – à gauche D34 – MORDELLES – à gauche et à droite aux feux D34 – CINTRE – à gauche D687 – D30 – LA CHLLE THOURAULT (à gauche à l’entrée du bourg) – VC – La Pierre Blanche – traverser D125 - VC – ST GILLES – D21 (direction Romillé) – à gauche D421 – CLAYES – D421 – PLEUMELEUC – D68 – D31 – BEDEE (centre) – D31 – à droite D261 – ST UNIAC – D261 – D61 – MONTAUBAN
112;66;MONTAUBAN – D61 – IFFENDIC – D30 – MONTFORT/MEU – D62 – TALENSAC – D62 – BREAL S/S MONTFORT – VC – MORDELLES – D34 – CINTRE – à gauche D68 – D30 – LA CH LLE THOURAULT (à gauche à l’entrée du bourg) – VC – La Pierre Blanche – traverser D125 - VC – ST GILLES – D21 (direction Romillé) – à gauche D421 – CLAYES – D421 – PLEUMELEUC – D68 – D31 – BEDEE (centre) – D31 – à droite D261 – ST UNIAC – D261 – D61 – MONTAUBAN
113;53;MONTAUBAN – D61 – IFFENDIC – D30 – MONTFORT/MEU – D125 – BRETEIL – D125 – L’HERMITAGE – à gauche D21 – ST GILLES – D21 – (direction Romillé) – à gauche D421 – CLAYES – D421 – PLEUMELEUC – D68 – D31 – BEDEE (centre) – D31 – à droite D261 – ST UNIAC – D261 – D61 – MONTAUBAN
116;81;MONTAUBAN - D61 - D261 - S T UNIAC - D261 - D31 - BEDEE - D31 - D68 - PLEUMELEUC - D421 - CLAYES - D421 - à droite D21 - ST GILLES - à droite VC - La Pierre Blanche - traverser D125 - VC - LA CHAPELLE THOUARAULT - à droite D30 (direction Montfort) et à gauche D68 - CINTRÉ - à gauche et à droite D34 - MORDELLES - à droite D34 - VC - CHAVAGNE - à droite D21 - D44 - GOVEN - à droite D62 - BREAL S/S MONTFORT - D62 - TALENSAC - D62 - MONTFORT/MEU - D30 - IFFENDIC - D61 - MONTAUBAN
117;66;MONTAUBAN - D61 - D261 - ST UNIAC - D261 - D31 - BEDEE - D31 - D68 - PLEUMELEUC - D421 - CLAYES - D421 - à droite D21 - ST GILLES - à droite VC - La Pierre Blanche - traverser D125 - VC - LA CHAPELLE THOUARAULT - à droite D30 (direction Montfort) et à gauche D68 - CINTRÉ - à gauche et à droite D34 - MORDELLES - VC - BREAL S/S MONTFORT - D62 - TALENSAC - D62 - MONTFORT/MEU - D30 - IFFENDIC - D61 - MONTAUBAN
118;53;MONTAUBAN - D61 - D261 - ST UNIAC - D261 - D31 - BEDEE – D31 - D68 - PLEUMELEUC - D421 - CLAYES - D421 - à droite D21 - ST GILLES - D21 - L'HERMITAGE - à droite D125 - BRETEIL - D125 - MONTFORT/MEU - D30 - IFFENDIC - D61 - MONTAUBAN
121;81;MONTAUBAN – D71 – LANDUJAN – D62 (direction St Pern) – à droite D220 (direction Bécherel) – à droite D220 – MINIAC S/S BECHEREL – D220 – à droite D27 – à gauche D220 – CARDROC – à gauche D79 – à droite VC – LES IFFS – D221 – à gauche D81 – ST BRIEUC DES IFFS – D81 – TINTENIAC – D20 – DINGE – à droite D82 (direction guipel) – à droite D87 – BAZOUGES S/S HEDE – à droite après le bourg D87 – HEDE – D795 – D80 – ST GONDRAN – D80 – LANGAN – D80 (direction Gévezé) – à droite VC – traverser D28 – D231 (direction Parthenay) – à droite D31 (direction Pleumeleuc) – 2ème à droite D21 – ROMILLE – D28 – MONTAUBAN;4678068
122;59;MONTAUBAN – D71 – LANDUJAN – D62 (direction St Pern) – à droite D220 (direction Bécherel) – à droite D220 – MINIAC S/S BECHEREL – D220 – à droite D27 – à gauche D220 – CARDROC – à gauche D79 – à droite VC – LES IFFS – D221 – à gauche D81 – ST BRIEUC DES IFFS – D221 – ST SYMPHORIEN – D221 – à droite D80 – ST GONDRAN – D80 – LANGAN – D80 (direction Gévezé) – à droite VC – traverser D28 – D231 (direction Parthenay) – à droite D31 (direction Pleumeleuc) – 2ème à droite D21 – ROMILLE – D28 – MONTAUBAN
123;43;MONTAUBAN – D71 – LANDUJAN – D62 (direction St Pern) – à droite D220 (direction Bécherel) – à droite D220 – MINIAC S/S BECHEREL – à droite D68 (direction Romillé) – à gauche D221 – à droite VC – LANGAN – D25 – ROMILLE – D28 – MONTAUBAN
